ID,Nombre,Edad,Salario,Horas_Trabajadas,Ausencias,Genero
327,Empleado_327,42,116883,65,0,Femenino
328,Empleado_328,37,44955,56,4,Femenino
329,Empleado_329,52,52325,67,1,Masculino
330,Empleado_330,26,90164,48,6,Masculino
331,Empleado_331,39,74141,57,3,Femenino
332,Empleado_332,22,101339,34,5,Femenino
333,Empleado_333,44,52251,56,6,Femenino
334,Empleado_334,29,52607,30,0,Masculino
335,Empleado_335,60,33384,38,1,Femenino
336,Empleado_336,27,38983,40,5,Femenino
337,Empleado_337,38,32973,70,9,Femenino
338,Empleado_338,52,55750,46,9,Masculino
339,Empleado_339,26,67816,36,8,Masculino
340,Empleado_340,43,67498,42,6,Masculino
341,Empleado_341,39,46496,31,7,Masculino
342,Empleado_342,37,101972,70,1,Femenino
343,Empleado_343,53,49428,50,10,Masculino
344,Empleado_344,53,64082,34,8,Masculino
345,Empleado_345,22,112799,58,4,Femenino
346,Empleado_346,44,84561,39,4,Femenino
347,Empleado_347,40,47498,36,7,Masculino
348,Empleado_348,40,47764,50,9,Masculino
349,Empleado_349,50,111655,59,4,Masculino
350,Empleado_350,18,47894,39,8,Masculino
351,Empleado_351,59,99253,46,4,Femenino
352,Empleado_352,28,102355,51,7,Masculino
353,Empleado_353,58,46015,38,3,Femenino
354,Empleado_354,55,45415,49,8,Femenino
355,Empleado_355,45,45614,34,3,Masculino
356,Empleado_356,54,81423,30,4,Femenino
357,Empleado_357,28,112845,33,5,Masculino
358,Empleado_358,44,99563,35,3,Femenino
359,Empleado_359,31,114830,36,2,Femenino
360,Empleado_360,25,114816,68,7,Masculino
361,Empleado_361,40,67590,56,4,Masculino
362,Empleado_362,57,84200,51,3,Femenino
363,Empleado_363,46,115823,66,1,Masculino
364,Empleado_364,43,88565,44,2,Femenino
365,Empleado_365,34,54887,58,0,Masculino
366,Empleado_366,50,90020,48,0,Masculino
367,Empleado_367,59,111206,48,4,Femenino
368,Empleado_368,22,75363,45,4,Femenino
369,Empleado_369,42,78550,35,0,Masculino
370,Empleado_370,57,41717,44,4,Femenino
371,Empleado_371,32,63937,42,10,Femenino
372,Empleado_372,53,47156,41,10,Femenino
373,Empleado_373,30,59849,31,5,Masculino
374,Empleado_374,55,108103,59,8,Femenino
375,Empleado_375,60,83756,52,8,Femenino
376,Empleado_376,32,114057,48,9,Masculino
377,Empleado_377,51,115024,41,4,Masculino
378,Empleado_378,49,59321,63,3,Femenino
379,Empleado_379,28,71104,47,8,Masculino
380,Empleado_380,21,90270,58,9,Femenino
381,Empleado_381,49,117255,67,2,Femenino
382,Empleado_382,30,31572,30,5,Femenino
383,Empleado_383,42,100171,64,1,Femenino
384,Empleado_384,45,61431,61,5,Femenino
385,Empleado_385,30,104592,45,4,Femenino
386,Empleado_386,32,112991,34,1,Femenino
387,Empleado_387,29,88259,42,4,Femenino
388,Empleado_388,27,51400,41,2,Femenino
389,Empleado_389,49,88321,62,0,Femenino
390,Empleado_390,51,85031,42,2,Masculino
391,Empleado_391,20,60253,45,1,Masculino
392,Empleado_392,43,32956,59,9,Masculino
393,Empleado_393,22,95345,69,10,Masculino
394,Empleado_394,45,116310,58,6,Masculino
395,Empleado_395,24,109172,69,10,Masculino
396,Empleado_396,59,53071,52,7,Femenino
397,Empleado_397,22,78118,38,9,Masculino
398,Empleado_398,43,80467,57,7,Femenino
399,Empleado_399,21,42608,62,7,Masculino
400,Empleado_400,26,108948,64,6,Femenino
401,Empleado_401,38,73784,45,1,Masculino
402,Empleado_402,45,81133,62,5,Femenino
403,Empleado_403,34,54371,58,8,Femenino
404,Empleado_404,46,52614,61,5,Femenino
405,Empleado_405,38,102982,33,7,Masculino
406,Empleado_406,44,65316,43,1,Masculino
407,Empleado_407,30,114625,57,9,Femenino
408,Empleado_408,57,113105,49,4,Femenino
409,Empleado_409,19,59796,63,6,Masculino
410,Empleado_410,53,82864,64,8,Masculino
411,Empleado_411,49,67217,59,4,Masculino
412,Empleado_412,23,72665,68,0,Masculino
413,Empleado_413,53,55092,50,7,Masculino
414,Empleado_414,57,30699,31,10,Femenino
415,Empleado_415,41,92989,44,2,Masculino
416,Empleado_416,22,82438,36,2,Masculino
417,Empleado_417,32,46758,50,8,Masculino
418,Empleado_418,34,102864,56,8,Masculino
419,Empleado_419,60,118112,40,8,Femenino
420,Empleado_420,29,113366,41,2,Femenino
421,Empleado_421,46,105811,35,6,Masculino
422,Empleado_422,40,48300,39,6,Femenino
423,Empleado_423,43,30090,55,5,Femenino
424,Empleado_424,29,32508,39,4,Femenino
425,Empleado_425,30,79762,57,7,Masculino
426,Empleado_426,29,100018,35,5,Masculino
427,Empleado_427,50,42036,50,1,Femenino
428,Empleado_428,31,61847,39,3,Femenino
429,Empleado_429,50,31470,64,10,Masculino
430,Empleado_430,47,112623,38,1,Femenino
431,Empleado_431,57,113591,61,6,Femenino
432,Empleado_432,53,59550,34,8,Masculino
433,Empleado_433,30,79106,40,0,Femenino
434,Empleado_434,57,107554,31,5,Masculino
435,Empleado_435,35,92028,65,10,Femenino
436,Empleado_436,43,111507,64,3,Masculino
437,Empleado_437,27,77255,50,6,Masculino
438,Empleado_438,40,94871,39,5,Masculino
439,Empleado_439,38,67520,33,1,Femenino
440,Empleado_440,27,62271,47,9,Masculino
441,Empleado_441,59,115836,43,2,Femenino
442,Empleado_442,22,108165,41,3,Femenino
443,Empleado_443,37,85520,43,8,Masculino
444,Empleado_444,56,102537,61,0,Femenino
445,Empleado_445,35,59212,70,9,Femenino
446,Empleado_446,30,89548,59,4,Femenino
447,Empleado_447,54,68895,45,4,Femenino
448,Empleado_448,21,49470,51,7,Masculino
449,Empleado_449,18,35974,39,6,Masculino
450,Empleado_450,29,113471,65,9,Femenino
451,Empleado_451,60,80549,30,6,Masculino
452,Empleado_452,57,75190,50,5,Femenino
453,Empleado_453,41,33872,46,0,Femenino
454,Empleado_454,43,49012,70,9,Femenino
455,Empleado_455,35,73551,53,10,Femenino
456,Empleado_456,56,48429,38,6,Masculino
457,Empleado_457,34,102082,66,4,Masculino
458,Empleado_458,24,112308,62,3,Femenino
459,Empleado_459,55,62825,39,1,Femenino
460,Empleado_460,25,97755,64,10,Femenino
461,Empleado_461,48,100719,61,2,Masculino
462,Empleado_462,22,48276,55,2,Femenino
463,Empleado_463,60,42335,57,5,Masculino
464,Empleado_464,45,44333,56,8,Masculino
465,Empleado_465,50,68902,64,2,Femenino
466,Empleado_466,26,89404,63,1,Femenino
467,Empleado_467,54,118748,55,6,Masculino
468,Empleado_468,44,95288,56,1,Femenino
469,Empleado_469,53,67505,49,1,Masculino
470,Empleado_470,59,99734,36,9,Femenino
471,Empleado_471,38,54955,46,2,Femenino
472,Empleado_472,48,44689,64,1,Masculino
473,Empleado_473,53,106294,31,9,Masculino
474,Empleado_474,36,81699,52,8,Masculino
475,Empleado_475,33,116253,40,4,Masculino
476,Empleado_476,49,62435,39,5,Masculino
477,Empleado_477,46,91127,60,6,Masculino
478,Empleado_478,25,96780,33,2,Masculino
479,Empleado_479,21,63407,62,3,Masculino
480,Empleado_480,54,75002,63,3,Femenino
481,Empleado_481,30,57065,60,6,Masculino
482,Empleado_482,30,89958,36,0,Masculino
483,Empleado_483,18,59742,56,7,Masculino
484,Empleado_484,54,30867,44,9,Femenino
485,Empleado_485,22,107523,55,0,Masculino
486,Empleado_486,26,72782,52,5,Femenino
487,Empleado_487,38,37358,39,0,Femenino
488,Empleado_488,31,68513,38,8,Masculino
489,Empleado_489,52,36799,49,8,Femenino
490,Empleado_490,21,47556,39,3,Masculino
491,Empleado_491,37,83741,66,6,Masculino
492,Empleado_492,41,86781,42,8,Masculino
493,Empleado_493,48,60960,53,7,Femenino
494,Empleado_494,19,95280,70,5,Masculino
495,Empleado_495,34,60159,61,1,Femenino
496,Empleado_496,35,85278,39,10,Masculino
497,Empleado_497,35,43189,68,3,Masculino
498,Empleado_498,23,66753,43,8,Femenino
499,Empleado_499,49,38507,35,4,Masculino
500,Empleado_500,41,80437,43,3,Masculino
